Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000198513,ATL1,0.010890054995111299,-2.75443063981841,0.591878064899528,0.05564077217620525,3.168896322142802,0.5194079579383498,0.0,3.4804294754512757,1.0
ENSG00000151748,SAV1,0.029947651236556072,-0.3674075167091626,1.0,0.0,0.781873199033555,1.0,0.0,2.2003215562585403,1.0
ENSG00000100503,NIN,0.30310653069726445,-1.38878116750173,0.3766464953878491,1.0015338991716944,1.7249461309487193,0.32584401760674503,0.16198604081902682,-0.17573997576230038,1.0
ENSG00000270062,AL606834.2,0.005445027497555649,-2.647515435901898,1.0,0.0,3.0619811182262904,1.0,0.0,4.480429475451276,1.0
ENSG00000258843,AL133485.2,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000100504,PYGL,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000258711,AL358334.2,0.009075045829259415,-1.9954387393222053,1.0,0.0,2.4099044216465977,1.0,0.0,3.828352778871582,1.0
ENSG00000100505,TRIM9,0.001815009165851883,-3.8699078572383456,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000139921,TMX1,0.17605588908763267,-0.4325025449310478,0.9391179685369582,0.222563088704821,0.5765542910560484,0.8116359976409468,0.16198604081902682,0.6511597769652311,1.0
ENSG00000258479,LINC00640,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000139926,FRMD6,0.0045375229146297075,-2.8699078572383465,1.0,0.0,3.284373539562738,1.0,0.0,4.702821896787723,1.0
ENSG00000273888,FRMD6-AS1,0.009982550412185357,-1.8699078572383465,1.0,0.0,2.284373539562738,1.0,0.0,3.7028218967877233,1.0
ENSG00000186469,GNG2,0.2450262373900042,-0.8321529352429282,0.5865612654562947,0.445126177409642,0.9465039008063543,0.5739869881895049,0.32397208163805363,0.7486255864008482,1.0
ENSG00000259007,AL358333.3,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000087302,RTRAF,0.7949740146431248,0.8621310558479334,1.0,0.222563088704821,-1.5950054924772092,1.0,0.971916244914161,0.3121411106460702,1.0
ENSG00000087303,NID2,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000168229,PTGDR,0.02904014665363013,-0.4104762386010492,1.0,0.0,0.8249419209254407,1.0,0.0,2.243390278150426,1.0
ENSG00000125384,PTGER2,0.18603843949981802,-0.35333233149744014,0.8498707449464104,0.222563088704821,0.4977771776719315,0.8272156817189623,0.16198604081902682,0.573538879842757,1.0
ENSG00000087301,TXNDC16,0.009075045829259415,-1.9954387393222053,1.0,0.0,2.4099044216465977,1.0,0.0,3.828352778871582,1.0
ENSG00000180998,GPR137C,0.01179755957803724,-3.232477936623054,0.40007837367590865,0.1112815443524105,3.646943618947446,0.3531430869605248,0.0,3.2877843975088794,1.0
